1976 Standard Atmosphere in SI Units


Column 1 = Altitude [m] 
Column 2 = Temperature [Kelvin] 
Column 3 = Pressure [pascal] 
Column 4 = Density [kg/m3] 
Column 5 = Speed of sound [m/s] 


Col1 Col2   Col3        Col4   Col5
---- ----   ----        ----   ----
51200 270.09 65.2684 0.0008 329.4574 
51300 269.81 64.4476 0.0008 329.2866 
51400 269.53 63.6363 0.0008 329.1157 
51500 269.25 62.8344 0.0008 328.9447 
51600 268.97 62.0418 0.0008 328.7736 
51700 268.69 61.2583 0.0008 328.6025 
51800 268.41 60.484 0.0008 328.4312 
51900 268.13 59.7186 0.0008 328.2599 
52000 267.85 58.9622 0.0008 328.0884 
52100 267.57 58.2145 0.0008 327.9169 
52200 267.29 57.4756 0.0007 327.7453 
52300 267.01 56.7453 0.0007 327.5735 
52400 266.73 56.0235 0.0007 327.4017 
52500 266.45 55.3101 0.0007 327.2299 
52600 266.17 54.6051 0.0007 327.0579 
52700 265.89 53.9084 0.0007 326.8858 
52800 265.61 53.2198 0.0007 326.7136 
52900 265.33 52.5393 0.0007 326.5414 
53000 265.05 51.8668 0.0007 326.369 
53100 264.77 51.2022 0.0007 326.1966 
53200 264.49 50.5454 0.0007 326.0241 
53300 264.21 49.8964 0.0007 325.8515 
53400 263.93 49.2551 0.0007 325.6788 
53500 263.65 48.6213 0.0006 325.506 
53600 263.37 47.995 0.0006 325.3331 
53700 263.09 47.3761 0.0006 325.1601 
53800 262.81 46.7646 0.0006 324.987 
53900 262.53 46.1603 0.0006 324.8138 
54000 262.25 45.5632 0.0006 324.6406 
54100 261.97 44.9731 0.0006 324.4672 
54200 261.69 44.3902 0.0006 324.2938 
54300 261.41 43.8141 0.0006 324.1202 
54400 261.13 43.2449 0.0006 323.9466 
54500 260.85 42.6826 0.0006 323.7729 
54600 260.57 42.1269 0.0006 323.5991 
54700 260.29 41.5779 0.0006 323.4252 
54800 260.01 41.0354 0.0005 323.2512 
54900 259.73 40.4995 0.0005 323.0771 
55000 259.45 39.97 0.0005 322.9029 
55100 259.17 39.4469 0.0005 322.7286 
55200 258.89 38.93 0.0005 322.5542 
55300 258.61 38.4194 0.0005 322.3797 
55400 258.33 37.9149 0.0005 322.2052 
55500 258.05 37.4166 0.0005 322.0305 
55600 257.77 36.9242 0.0005 321.8557 
55700 257.49 36.4378 0.0005 321.6809 
55800 257.21 35.9573 0.0005 321.5059 
55900 256.93 35.4826 0.0005 321.3309 
56000 256.65 35.0137 0.0005 321.1557 
56100 256.37 34.5504 0.0005 320.9805 
56200 256.09 34.0928 0.0005 320.8052 
56300 255.81 33.6408 0.0005 320.6298 
56400 255.53 33.1943 0.0005 320.4542 
56500 255.25 32.7532 0.0004 320.2786 
56600 254.97 32.3175 0.0004 320.1029 
56700 254.69 31.8871 0.0004 319.9271 
56800 254.41 31.462 0.0004 319.7512 
56900 254.13 31.0421 0.0004 319.5752 
57000 253.85 30.6274 0.0004 319.3991 
57100 253.57 30.2178 0.0004 319.2229 
57200 253.29 29.8131 0.0004 319.0466 
57300 253.01 29.4135 0.0004 318.8702 
57400 252.73 29.0188 0.0004 318.6937 
57500 252.45 28.629 0.0004 318.5171 
57600 252.17 28.2439 0.0004 318.3404 
